2021-05-04 12:30:57,776:Key.shift:
2021-05-04 12:30:57,791:'S':
2021-05-04 12:30:58,674:'h':
2021-05-04 12:30:58,792:'i':
2021-05-04 12:30:59,033:'b':
2021-05-04 12:30:59,136:'u':
2021-05-04 12:30:59,579:Key.space:
2021-05-04 12:30:59,828:Key.shift:
2021-05-04 12:31:00,167:'M':
2021-05-04 12:31:00,520:'o':
2021-05-04 12:31:01,241:'h':
2021-05-04 12:31:01,430:'a':
2021-05-04 12:31:01,686:'p':
2021-05-04 12:31:01,845:'a':
2021-05-04 12:31:02,144:'t':
2021-05-04 12:31:02,344:'r':
2021-05-04 12:31:02,741:'a':
